12353,1,2023-10-17,9:20,16:10
23821,2,2023-10-17,12:50,17:40
93822,2,2023-10-17,13:05,18:00
234092,2,2023-10-17,7:17,19:45
823992,3,2023-10-17,8:38,14:10
192929,2,2023-10-17,11:00,14:20
239949,1,2023-10-18,9:20,13:10
239929,2,2023-10-18,12:50,17:25
894394,1,2023-10-18,13:05,18:00
988349,3,2023-10-19,7:17,12:45
44315,2,2023-10-19,7:22,11:27
59294,1,2023-10-19,11:00,12:04
16729,1,2023-10-19,8:50,12:19
23821,1,2023-10-20,9:15,15:46
93822,3,2023-10-20,12:41,15:51
239929,3,2023-10-20,12:50,15:12
894394,3,2023-10-20,13:35,15:13
988349,2,2023-10-20,10:17,15:14
44315,1,2023-10-20,7:44,#1
59294,2,2023-10-20,11:00,15:15
16729,2,2023-10-20,8:50,#1
12353,3,2023-10-20,9:20,14:15
572292,1,2023-10-20,11:52,#1
723842,2,2023-10-20,11:39,#1
834767,1,2023-10-20,12:14,#1
525890,2,2023-10-20,13:04,#1
651851,3,2023-10-20,13:46,#1
616611,3,2023-10-20,15:55,#1
234092,1,2023-10-21,19:36,19:37
231086,3,2023-10-21,19:38,19:39
